Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern,Total
2022,Canada,CAN,United Kingdom of Great Britain and Northern Ireland,GBR,11,36,0,0,0,0,0,47
2022,Western Sahara,ESH,United Kingdom of Great Britain and Northern Ireland,GBR,11,5,0,0,0,0,0,16
2022,Uganda,UGA,United Kingdom of Great Britain and Northern Ireland,GBR,1086,349,0,0,0,0,0,1435
2022,Egypt,EGY,United Kingdom of Great Britain and Northern Ireland,GBR,1062,2054,0,0,0,0,0,3116
2022,Trinidad and Tobago,TTO,United Kingdom of Great Britain and Northern Ireland,GBR,105,226,0,0,0,0,0,331
2022,Rwanda,RWA,United Kingdom of Great Britain and Northern Ireland,GBR,103,55,0,0,0,0,0,158
2022,Russian Federation,RUS,United Kingdom of Great Britain and Northern Ireland,GBR,1029,972,0,0,0,0,0,2001
2022,Antigua and Barbuda,ATG,United Kingdom of Great Britain and Northern Ireland,GBR,10,13,0,0,0,0,0,23
2022,Argentina,ARG,United Kingdom of Great Britain and Northern Ireland,GBR,0,33,0,0,0,0,0,33
2022,Bulgaria,BGR,United Kingdom of Great Britain and Northern Ireland,GBR,0,5,0,0,0,0,0,5
2022,Belize,BLZ,United Kingdom of Great Britain and Northern Ireland,GBR,0,5,0,0,0,0,0,5
2022,Chile,CHL,United Kingdom of Great Britain and Northern Ireland,GBR,0,11,0,0,0,0,0,11
2022,Costa Rica,CRI,United Kingdom of Great Britain and Northern Ireland,GBR,0,13,0,0,0,0,0,13
2022,Cyprus,CYP,United Kingdom of Great Britain and Northern Ireland,GBR,0,13,0,0,0,0,0,13
2022,Czechia,CZE,United Kingdom of Great Britain and Northern Ireland,GBR,0,7,0,0,0,0,0,7
2022,Dominican Rep.,DOM,United Kingdom of Great Britain and Northern Ireland,GBR,0,5,0,0,0,0,0,5
2022,Germany,DEU,United Kingdom of Great Britain and Northern Ireland,GBR,0,5,0,0,0,0,0,5
2022,Haiti,HTI,United Kingdom of Great Britain and Northern Ireland,GBR,0,11,0,0,0,0,0,11
2022,Hungary,HUN,United Kingdom of Great Britain and Northern Ireland,GBR,0,25,0,0,0,0,0,25
2022,Japan,JPN,United Kingdom of Great Britain and Northern Ireland,GBR,0,9,0,0,0,0,0,9
2022,Lithuania,LTU,United Kingdom of Great Britain and Northern Ireland,GBR,0,14,0,0,0,0,0,14
2022,Latvia,LVA,United Kingdom of Great Britain and Northern Ireland,GBR,0,5,0,0,0,0,0,5
2022,"China, Macao SAR",MAC,United Kingdom of Great Britain and Northern Ireland,GBR,0,5,0,0,0,0,0,5
2022,Montenegro,MNE,United Kingdom of Great Britain and Northern Ireland,GBR,0,5,0,0,0,0,0,5
2022,Panama,PAN,United Kingdom of Great Britain and Northern Ireland,GBR,0,6,0,0,0,0,0,6
2022,Peru,PER,United Kingdom of Great Britain and Northern Ireland,GBR,0,18,0,0,0,0,0,18
2022,Poland,POL,United Kingdom of Great Britain and Northern Ireland,GBR,0,46,0,0,0,0,0,46
2022,Portugal,PRT,United Kingdom of Great Britain and Northern Ireland,GBR,0,5,0,0,0,0,0,5
2022,Romania,ROU,United Kingdom of Great Britain and Northern Ireland,GBR,0,20,0,0,0,0,0,20
2022,Slovakia,SVK,United Kingdom of Great Britain and Northern Ireland,GBR,0,5,0,0,0,0,0,5
2022,Sweden,SWE,United Kingdom of Great Britain and Northern Ireland,GBR,0,6,0,0,0,0,0,6
2022,Timor-Leste,TLS,United Kingdom of Great Britain and Northern Ireland,GBR,0,14,0,0,0,0,0,14
2022,Vanuatu,VUT,United Kingdom of Great Britain and Northern Ireland,GBR,0,8,0,0,0,0,0,8
